Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2025-03-05;49.62;51.08;48.785;51.08;8189.545
2025-03-06;50.67;51.77;50.67;51.77;80454.35
2025-03-07;51.7;54.0;51.7;54.0;128667.79
2025-03-10;53.35;54.4;52.44;54.4;10201.45
2025-03-11;54.73;56.75;54.54;56.75;160746.21
2025-03-12;54.81;54.81;51.52;52.23;53223.59
2025-03-14;50.73;50.73;49.0;49.0;10507.28
2025-03-17;42.815;43.72;42.335;43.72;2420.79
2025-03-19;43.88;43.88;43.88;43.88;54981.64
2025-03-20;41.965;41.965;40.08;40.14;15815.41
2025-03-21;41.905;43.01;41.01;42.875;10324.59
2025-03-24;40.295;40.295;33.145;33.145;3847.625
2025-03-26;33.79;34.81;33.79;34.7;2519.01
2025-03-27;38.65;40.46;38.65;38.87;23121.15
2025-03-28;40.3;42.815;40.3;42.815;9534.645
2025-03-31;47.37;47.37;46.725;46.725;10076.91
2025-04-01;42.78;42.78;42.78;42.78;128.34
2025-04-02;44.0;44.0;44.0;44.0;2200.0
2025-04-03;48.765;49.705;47.93;48.265;19197.315
2025-04-04;60.87;65.26;60.39;65.26;61787.81
2025-04-07;84.37;84.37;70.57;77.3;43312.41
2025-04-08;74.37;74.37;65.7;65.7;31051.89
2025-04-09;85.95;92.56;71.81;71.81;28616.35
2025-04-10;34.25;43.09;34.25;43.09;8978.11
2025-04-11;43.575;43.93;37.81;37.81;69642.085
2025-04-15;34.5;34.5;32.53;32.53;64014.7
2025-04-16;40.695;41.515;39.67;40.33;34019.585
2025-04-17;40.5;42.485;39.51;42.485;10908.47
2025-04-22;42.8;44.5;42.8;44.5;13020.46
2025-04-23;38.855;38.855;34.385;34.385;102899.025
2025-04-24;38.245;38.245;38.03;38.03;1413.56
2025-04-25;32.1;32.75;31.99;32.75;5530.57
2025-04-28;31.305;32.35;31.305;32.35;5473.33
2025-04-30;31.5;34.5;31.5;31.61;48970.445
2025-05-02;28.185;28.185;28.185;28.185;5073.3
2025-05-05;28.595;28.595;28.595;28.595;285.95
2025-05-06;28.08;29.745;28.08;28.4;5346.98
2025-05-07;26.76;26.905;24.98;26.905;10318.355
2025-05-12;21.4;21.4;19.91;19.91;26850.82
2025-05-14;17.862;18.474;13.85;15.792;76520.966
2025-05-15;17.192;17.192;17.192;17.192;257.88
2025-05-16;15.83;16.272;15.83;16.272;13302.294
2025-05-19;17.5;17.5;17.08;17.22;29784.188
2025-05-21;17.028;17.05;17.028;17.05;37506.59
2025-05-22;18.2;18.2;18.2;18.2;18200.0
2025-05-23;20.375;20.595;20.015;20.015;12609.98
2025-05-27;17.0;17.22;17.0;17.22;342.2
2025-05-29;16.0;16.0;16.0;16.0;512.0
2025-05-30;17.874;17.874;17.874;17.874;1322.676
2025-06-02;19.18;19.18;18.7;18.7;2081.6
2025-06-03;16.3;16.3;16.068;16.068;275.476
2025-06-05;15.27;15.658;15.26;15.658;9028.66
2025-06-06;16.048;16.048;16.048;16.048;240.72
2025-06-09;14.068;14.224;14.068;14.144;1948.568
2025-06-11;13.38;13.38;13.0;13.0;2242.22
2025-06-13;15.688;15.688;15.688;15.688;1898.248
2025-06-17;11.52;11.666;10.272;10.8;25713.29
2025-06-19;11.9;12.418;11.9;11.95;58466.5
2025-06-20;11.47;11.47;9.85;11.2;29909.778
2025-06-23;10.7;10.7;10.04;10.172;73115.822
2025-06-24;8.734;8.842;8.734;8.842;2109.12
2025-06-25;8.198;8.425;7.91;7.958;10232.84
2025-06-26;6.988;6.988;6.988;6.988;775.668
2025-06-27;7.319;7.319;7.19;7.212;5035.293
2025-06-30;7.223;7.75;7.223;7.542;9078.85
2025-07-01;7.8;8.62;7.8;8.62;6397.154
2025-07-02;8.701;8.701;8.308;8.308;6011.518
2025-07-09;8.071;8.071;7.91;7.91;7935.41
2025-07-10;8.061;8.061;7.03;7.03;12203.355
2025-07-11;7.036;7.35;7.036;7.13;27893.476
2025-07-14;6.999;7.2;6.919;7.2;14018.25
2025-07-15;6.0;6.0;5.483;5.549;49731.948
2025-07-16;5.71;5.9;5.576;5.576;12599.841
2025-07-17;4.92;5.07;4.9195;5.07;63609.9425
2025-07-18;5.096;5.327;5.0;5.327;9373.199
2025-07-22;5.583;6.074;5.583;5.8;25894.938
2025-07-23;5.31;5.31;5.31;5.31;64155.42
2025-07-24;4.95;4.95;4.95;4.95;990.0
2025-07-25;4.65;4.65;4.45;4.55;4713.635
2025-07-28;3.92;4.0495;3.8675;4.0495;33078.219
2025-07-29;3.78;3.8185;3.322;3.535;187051.0275
2025-07-30;3.687;3.9;3.5505;3.5505;46498.0505
2025-07-31;3.248;3.5995;3.248;3.5605;40293.814
2025-08-01;4.1205;4.3395;3.935;4.005;180031.157
2025-08-04;3.8225;3.8225;3.615;3.615;8270.8
